type,title,isAdult,startYear,runtimeMinutes,isDrama,isComedy,isShort,isDocumentary,isTalkShow,isRomance,isFamily,isNews,isAnimation,isRealityTV,isMusic,isCrime,isAdventure,isGameShow,isMystery,isSport,isFantasy,isHorror,isThriller,isSciFi,isHistory,isBiography,isMusical,isWestern,isWar,isFilmNoir,averageRating,numVotes,directorsExperience,actorsExperience,producersExperience
short,A Breath,False,2015,5,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0,8,51,12,0
short,and/or,False,2012,6,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.4,5,0,222,0
video,Cemetery Sisters,False,1987,61,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4.9,35,62,17,0
short,Stop,False,2001,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.5,8,0,13,10
movie,The Battle of Aiken,False,2005,90,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.9,22,26,16,2
short,Water on Mars,False,2012,22,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8.9,15,4,44,0
movie,Chaar Din Ki Chandni,False,2012,131,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.4,362,7,480,0
short,The Missing Sock,False,2008,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.2,24,0,27,0
movie,He Hated Pigeons,False,2015,80,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.5,60,0,85,7
short,The Kids' Table,False,2004,24,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.4,16,0,31,0
short,The Jay Z Story,False,2015,4,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.7,41,126,947,0
video,EastEnders: The Mitchells - Naked Truths,False,1998,60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.8,44,999,2066,0
movie,Chefu,False,2012,100,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.6,5,0,8,0
movie,All Inclusive,False,2017,93,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.6,520,0,391,43
short,How Do You Like My Hair?,False,2013,11,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.2,13,0,9,18
movie,Hollow Reed,False,1996,104,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.3,983,23,281,25
movie,A Man for Emmanuelle,False,1969,96,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.5,77,10,276,0
movie,Babylonia en Guagua,False,2002,114,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.6,13,11,11,0
short,The Sun Ladies VR,False,2018,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.9,7,10,184,0
movie,Raaz,False,1981,132,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,4.5,10,30,985,0
movie,Stars 80,False,2012,110,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.2,616,15,573,0
short,Bump,False,2011,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,8.6,9,23,8,6
movie,Monster High: Scaremester Collection,False,2014,47,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,50,0,463,0
tvMovie,Ein Mann wie eine Waffe,False,1999,93,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.6,57,43,989,0
short,La casa de enfrente,False,2003,27,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,20,21,96,0
video,Jamiroquai: Canned Heat,False,1999,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.8,13,141,40,0
short,In Between Moments,False,2005,28,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.1,18,1,16,0
movie,Samuel's Game,False,2014,80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,6.9,21,3,13,0
short,Cindy: The Doll Is Mine,False,2005,15,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.2,190,31,159,5
short,Gargantuan,False,1992,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.7,57,28,0,0
